LHR,,HND
HKG,,HAN
MNL,,HAN
LHR,,PQC
SIN,,VKG
VCL,,KUL
LPQ,,TBB
DLI,,NGO
HUI,,MEL
ICN,,HKG
KHH,,CDG
NGO,,DLI
NGO,,SYD
BKK,,LHR
SGN,,VCA
CTU,,HAN
BKK,,DME
PVG,,FRA
ATL,,IAD
SGN,,DLI
DIN,,RGN
RGN,,DIN
FRA,,CTU
PVG,,HAN
FUK,,HAN
REP,,HPH
PNH,,PUS
CAN,,REP
CHI,,SGN
MEL,,HKG
HAN,,VTE
DAD,,VTE
PQC,,NGO
ICN,,DAD
NRT,,HAN
FUK,,TPE
KIX,,PNH
DAD,,BMV
MSP,,HAN
VCA,,KUL
SIN,,PNH
TLS,,HAN
HAN,,VCL
DME,,PQC
DME,,VTE
DTW,,HAN
VTE,,VCA
JFK,,SGN
NRT,,KHH
PQC,,HKG
NRT,,FRA
PEK,,TBB
CXR,,DAD
LHR,,KHH
TPE,,NRT
DLI,,NRT
SGN,,SYD
KUL,,BMV
PNH,,MNL
REP,,FUK
SIN,,MEL
TPE,,CXR
VTE,,VDH
CXR,,LPQ
SGN,,MIA
HAN,,TPE
FRA,,HKG
CDG,,KUL
DME,,CGK
RGN,,FUK
NGO,,REP
CAN,,DLI
SGN,,AUS
AMS,,KUL
SGN,,HNL
HKG,,ICN
SYD,,REP
FRA,,DAD
DAD,,SGN
DAD,,CGK
RGN,,VII
REP,,DLI
REP,,SYD
TPE,,UIH
FRA,,LPQ
LPQ,,NGO
CXR,,HKG
BMV,,LPQ
CAN,,SGN
LYS,,SGN
PEK,,DAD
AMS,,REP
LPQ,,UIH
HAN,,BCN
CAN,,FRA
SGN,,MIL
PNH,,HAN
HAN,,CDG
HKG,,BMV
DLI,,PEK
KIX,,SIN
HAN,,BKK
LPQ,,NRT
RGN,,UIH
MNL,,REP
HAN,,BMV
ICN,,LPQ
KHH,,SGN
HUI,,HKG
ICN,,MEL
PVG,,PQC
FRA,,NGO
RGN,,NRT
BMV,,CTU
FUK,,VTE
HND,,SIN
CXR,,CTU
SIN,,CAN
KIX,,CAN
LHR,,PUS
NRT,,RGN
CAN,,BKK
UIH,,CAN
HUI,,CDG
BKK,,VKG
KHH,,DME
HUI,,RGN
PUS,,DLI
SGN,,MAD
MNL,,PQC
KUL,,VCA
CAN,,PQC
PNH,,HUI
CAN,,CDG
PUS,,SYD
REP,,CXR
KHH,,BMV
HAN,,IAD
TPE,,DLI
PNH,,KHH
HAN,,MSP
SIN,,KIX
SIN,,DME
HAN,,SGN
KUL,,VII
VTE,,HPH
SGN,,STL
HUI,,BKK
DAD,,FUK
MEL,,DAD
HND,,CXR
MNL,,RGN
BMV,,HKG
KIX,,CDG
UIH,,VTE
TBB,,LPQ
FRA,,KUL
HND,,TPE
PNH,,NGO
SIN,,CDG
NGO,,PQC
SEA,,HAN
VII,,CGK
FRA,,HUI
PEK,,HAN
PHL,,SGN
SYD,,FRA
KIX,,BKK
TBB,,CTU
CDG,,HAN
LPQ,,VII
PQC,,MNL
SYD,,CTU
DAD,,PXU
REP,,SIN
MPL,,SGN
SGN,,HND
MNL,,HUI
SGN,,LPQ
SGN,,NCE
CAN,,LHR
NGO,,LPQ
REP,,SGN
HPH,,PNH
DIN,,LPQ
THD,,RGN
BKK,,VCL
ICN,,RGN
VCA,,HAN
CXR,,RGN
PNH,,PVG
VTE,,THD
SYD,,HND
VII,,SIN
ATL,,HAN
SGN,,LYS
DME,,MEL
LHR,,KIX
HAN,,FUK
VTE,,HKG
LHR,,HUI
PVG,,VCA
VKG,,SIN
HAN,,DME
NRT,,HUI
KUL,,HAN
BMV,,REP
LPQ,,DIN
NGO,,KHH
PUS,,VTE
CDG,,ICN
BKK,,SYD
NGO,,FRA
HAN,,PXU
HPH,,DAD
STL,,SGN
LHR,,REP
BCN,,SGN
REP,,VCL
VDH,,REP
HAN,,CAN
PDX,,HAN
GVA,,SGN
SGN,,FRA
HKG,,KUL
HUI,,HND
MEL,,LHR
SGN,,LAX
PQC,,HAN
KUL,,PUS
UIH,,CGK
SIN,,LHR
CGK,,DAD
PQC,,PUS
UIH,,PEK
PEK,,VDH
CDG,,NGO
LHR,,HKG
MEL,,REP
SYD,,DAD
PUS,,SIN
CTU,,BMV
CDG,,PVG
MEL,,PNH
SYD,,KHH
FRA,,PUS
RGN,,CXR
SIN,,VCL
VCL,,MNL
KIX,,VCS
THD,,REP
VTE,,KHH
BKK,,SGN
CTU,,TBB
DAD,,NRT
HAN,,ZRH
PUS,,CXR
SGN,,HPH
VDH,,RGN
VTE,,DAD
DAD,,PEK
PVG,,DAD
NGO,,RGN
HPH,,RGN
PNH,,ICN
VKG,,SGN
CGK,,HPH
SGN,,DFW
HUI,,LHR
LHR,,RGN
NGO,,DAD
LHR,,DAD
FRA,,MNL
SGN,,HKG
BKK,,MEL
AMS,,LPQ
SGN,,REP
PUS,,DME
DME,,BKK
TBB,,RGN
CDG,,MNL
KUL,,VDH
DME,,SYD
NCE,,SGN
HAN,,CGK
VDH,,LPQ
ICN,,PNH
PNH,,KUL
BMV,,PNH
FRA,,PVG
